symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
IBEX35,confidence_long,55.0,45.0,69,-0.00251998805284237,0.005396920065011308,-0.0992590159007628,0.291471048513302
IBEX35,confidence_long,65.0,35.0,85,-0.18369611569207767,-0.6146393362941204,-0.25189826054668774,0.29694835680751175
IBEX35,vol_long_dir,45.0,35.0,27,-0.03841573619445171,-0.19426055047703983,-0.08535885936891563,0.10602503912363068
IBEX35,confidence_long,65.0,45.0,85,-0.181239627271238,-0.6064220607022958,-0.24964701159895664,0.2965571205007825
IBEX35,confidence_long,65.0,55.0,89,-0.15366001996002976,-0.5273503396403232,-0.2231726281775992,0.28442879499217527
IBEX35,vol_long_dir,55.0,35.0,63,-0.07133203453481052,-0.2298015139280738,-0.15709873959280107,0.21009389671361503
IBEX35,vol_long_dir,55.0,45.0,63,-0.07133203453481052,-0.2298015139280738,-0.15709873959280107,0.21009389671361503
IBEX35,vol_long_inv,-35.0,-45.0,23,-0.024799413167231665,-0.23008740611738793,-0.03908271289923837,0.010172143974960876
IBEX35,vol_long_dir,65.0,35.0,63,-0.07133203453481052,-0.2298015139280738,-0.15709873959280107,0.21009389671361503
IBEX35,vol_long_inv,-35.0,-55.0,23,-0.016442474152166486,-0.1396872036810547,-0.03908271289923837,0.01643192488262911
IBEX35,vol_long_inv,-45.0,-55.0,23,-0.016442474152166486,-0.1396872036810547,-0.03908271289923837,0.01643192488262911
IBEX35,vol_long_inv,-35.0,-65.0,23,-0.016442474152166486,-0.1396872036810547,-0.03908271289923837,0.01643192488262911
IBEX35,vol_long_inv,-45.0,-65.0,23,-0.016442474152166486,-0.1396872036810547,-0.03908271289923837,0.01643192488262911
IBEX35,risk_long_dir,45.0,35.0,0,0.0,0.0,0.0,0.0
IBEX35,risk_long_dir,55.0,35.0,0,0.0,0.0,0.0,0.0
IBEX35,risk_long_dir,55.0,45.0,0,0.0,0.0,0.0,0.0
IBEX35,vol_long_inv,-55.0,-65.0,28,0.011570981638753697,0.09321447029493256,-0.030342130217165808,0.030125195618153366
IBEX35,risk_long_dir,65.0,35.0,0,0.0,0.0,0.0,0.0
IBEX35,risk_long_dir,65.0,45.0,0,0.0,0.0,0.0,0.0
IBEX35,risk_long_dir,65.0,55.0,0,0.0,0.0,0.0,0.0
IBEX35,vol_long_dir,65.0,45.0,63,-0.07133203453481052,-0.2298015139280738,-0.15709873959280107,0.21009389671361503
IBEX35,risk_long_inv,-35.0,-45.0,2,-0.012319312890605172,-0.23657671598618185,-0.02350496093337362,0.006259780907668232
IBEX35,risk_long_inv,-35.0,-55.0,2,-0.012319312890605172,-0.23657671598618185,-0.02350496093337362,0.006259780907668232
IBEX35,risk_long_inv,-45.0,-55.0,1,-0.002140455276160136,-0.04539607998228489,-0.01344138057425881,0.005868544600938967
IBEX35,risk_long_inv,-35.0,-65.0,2,-0.012319312890605172,-0.23657671598618185,-0.02350496093337362,0.006259780907668232
IBEX35,vol_long_dir,65.0,55.0,64,-0.062144893910910604,-0.2060042667076419,-0.14480787848602472,0.2007042253521127
IBEX35,risk_long_inv,-45.0,-65.0,1,-0.002140455276160136,-0.04539607998228489,-0.01344138057425881,0.005868544600938967
IBEX35,risk_long_inv,-55.0,-65.0,1,-0.002140455276160136,-0.04539607998228489,-0.01344138057425881,0.005868544600938967
FTSE250,trend_long,45.0,35.0,39,-0.04401373503861539,-0.20882258033026999,-0.05912675630114539,0.1290577988915281
FTSE250,trend_long,55.0,35.0,41,-0.042781884713457785,-0.18327222503851026,-0.10227267875070589,0.15914489311163896
FTSE250,trend_long,65.0,35.0,37,-0.011068669622666838,-0.039220438131432264,-0.07536762876489989,0.1543942992874109
FTSE250,trend_long,55.0,45.0,43,-0.04290219545349627,-0.1864949450115571,-0.10733721391332396,0.15518606492478226
FTSE250,trend_long,65.0,45.0,38,-0.018177432897004797,-0.07177813430782519,-0.08201418999821841,0.15320665083135393
FTSE250,trend_long,65.0,55.0,42,-0.02522253055797774,-0.10630600394499667,-0.0834816221594391,0.1456848772763262
