arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
trend_long,70.0,50.0,DAX40,2,7,0.0028034099924862943,0.09016134873002161,-0.019738133255878698
trend_long,70.0,50.0,UK100,3,19,-0.03902325008670082,-0.43152667681410817,-0.06423532126402154
trend_long,70.0,50.0,CAC40,2,6,-0.00903194780901373,-0.21679138609412782,-0.02784567734097043
trend_long,70.0,50.0,DAX40,3,17,0.013683422785079058,0.17172876965184836,-0.03410270575165075
trend_long,70.0,50.0,CAC40,0,9,-0.004834238209268871,-0.09392042188240181,-0.04362365880292607
trend_long,70.0,50.0,CAC40,1,10,-0.008073892943860073,-0.12276863246791582,-0.03954618857868819
trend_long,70.0,50.0,IBEX35,0,9,-0.02778666629237103,-0.732085080230915,-0.03831242311351157
trend_long,70.0,50.0,IBEX35,1,10,-0.02243050943060365,-0.48734239121515854,-0.05228768537173978
trend_long,70.0,50.0,IBEX35,2,9,-0.03258980643647047,-0.6509302242167592,-0.04484912086474968
trend_long,70.0,50.0,FTSE250,1,9,-0.04136948148643971,-0.9047567781779218,-0.04989314932812561
trend_long,70.0,50.0,CAC40,3,23,-0.10351630237144271,-1.0698255876666232,-0.11387872057768866
trend_long,70.0,50.0,FTSE250,0,9,0.06134358685555297,1.2943849014450297,-0.01515604453325281
trend_long,70.0,50.0,FTSE250,2,6,0.03782569762802157,0.7086850452964502,-0.023238132468036743
trend_long,70.0,50.0,IBEX35,3,17,0.025278832870238688,0.28353527101399545,-0.05271252275145577
trend_long,70.0,50.0,UK100_ETF,1,13,-0.08267408398368081,-1.4378205596269076,-0.08661681768372276
trend_long,70.0,50.0,FTSE250,3,15,-0.03601546088250995,-0.47718387126334494,-0.047548433709834415
trend_long,70.0,50.0,UK100_ETF,0,14,-0.022334280333974443,-0.4232805984078502,-0.0423925993468911
trend_long,70.0,50.0,UK100_ETF,2,9,-0.012295511883835153,-0.24038414688370008,-0.034005088185234955
structure_long,50.0,30.0,UK100,0,26,-0.1328518023752524,-1.808662843270492,-0.14926541656345838
structure_long,50.0,30.0,UK100,2,21,-0.09823374689388198,-1.2881729059619453,-0.09950816671492457
structure_long,50.0,30.0,UK100,1,23,-0.03074667049916857,-0.36746887783390536,-0.0440393482179966
trend_long,70.0,50.0,UK100_ETF,3,25,-0.0696516592983738,-0.6692302076142651,-0.1130523252480099
structure_long,50.0,30.0,DAX40,2,22,-0.12145724986988993,-1.5504441229220425,-0.12145951581141912
structure_long,50.0,30.0,DAX40,0,23,-0.015177309094461466,-0.16297651764652973,-0.06547027979829723
structure_long,50.0,30.0,DAX40,1,20,0.00404675057632331,0.07009023965113913,-0.04566682852950288
structure_long,50.0,30.0,CAC40,1,18,-0.0898223544237291,-1.268314223871997,-0.09084042251325541
structure_long,50.0,30.0,CAC40,0,17,-0.02883386086123607,-0.40108503347905805,-0.0702094529462125
structure_long,50.0,30.0,UK100,3,50,-0.04028549906794998,-0.21634750977912728,-0.09627629691822281
structure_long,50.0,30.0,CAC40,2,22,-0.08071302500849364,-1.2136429672369957,-0.08656318733722224
structure_long,50.0,30.0,DAX40,3,41,-0.02393041729856593,-0.12991041442362272,-0.08677923657172026
structure_long,50.0,30.0,IBEX35,0,20,-0.0920190035814279,-1.4392784003146673,-0.11562859798640857
structure_long,50.0,30.0,IBEX35,1,22,-0.08642749650216297,-1.334289994229101,-0.08750042452941509
structure_long,50.0,30.0,IBEX35,2,24,-0.14500880390879667,-2.0352998883105884,-0.14692781798146715
structure_long,50.0,30.0,CAC40,3,43,-0.12409195718540034,-0.8084769958044383,-0.1736264206841226
